Category,End Use,Amount,ssc_name,Sector,Taueime,End date,suburb
Electricity,All,12633302.09,ROSEBERY (NSW),Residential,2009-07-01,30/06/2010,11994
Electricity,All,12551838.02,ROSEBERY (NSW),Residential,2010-07-01,30/06/2011,11994
Electricity,All,11986741.99,ROSEBERY (NSW),Residential,2011-07-01,30/06/2012,11994
Electricity,All,11515666.87,ROSEBERY (NSW),Residential,2013-07-01,30/06/2014,11994
Electricity,All,10947041.17,RUSHCUTTERS BAY,Residential,2006-07-01,30/06/2007,12017
Electricity,All,7306949.03,RUSHCUTTERS BAY,Residential,2007-07-01,30/06/2008,12017
Electricity,All,7162867.14,RUSHCUTTERS BAY,Residential,2008-07-01,30/06/2009,12017
Electricity,All,6961985.62,RUSHCUTTERS BAY,Residential,2009-07-01,30/06/2010,12017
Electricity,All,6873317.57,RUSHCUTTERS BAY,Residential,2010-07-01,30/06/2011,12017
Electricity,All,6544673.61,RUSHCUTTERS BAY,Residential,2011-07-01,30/06/2012,12017
Electricity,All,5888058.16,RUSHCUTTERS BAY,Residential,2013-07-01,30/06/2014,12017
Electricity,All,64680077.92,SURRY HILLS,Residential,2006-07-01,30/06/2007,12182
Electricity,All,42496811.29,SURRY HILLS,Residential,2007-07-01,30/06/2008,12182
Electricity,All,42677517.95,SURRY HILLS,Residential,2008-07-01,30/06/2009,12182
Electricity,All,40733463.49,SURRY HILLS,Residential,2009-07-01,30/06/2010,12182
Electricity,All,40454395.19,SURRY HILLS,Residential,2010-07-01,30/06/2011,12182
Electricity,All,38659890.09,SURRY HILLS,Residential,2011-07-01,30/06/2012,12182
Electricity,All,34854718.66,SURRY HILLS,Residential,2013-07-01,30/06/2014,12182
Electricity,All,66231437.84,SYDNEY,Residential,2006-07-01,30/06/2007,12192
Electricity,All,45785472.06,SYDNEY,Residential,2007-07-01,30/06/2008,12192
Electricity,All,47229426.3,SYDNEY,Residential,2008-07-01,30/06/2009,12192
Electricity,All,46559397.89,SYDNEY,Residential,2009-07-01,30/06/2010,12192
Electricity,All,45388184.3,SYDNEY,Residential,2010-07-01,30/06/2011,12192
Electricity,All,42080496.93,SYDNEY,Residential,2011-07-01,30/06/2012,12192
Electricity,All,38859958.9,SYDNEY,Residential,2013-07-01,30/06/2014,12192
Electricity,All,4875324.41,THE ROCKS (Sydney - NSW),Residential,2006-07-01,30/06/2007,12266
Electricity,All,3174262.64,THE ROCKS (Sydney - NSW),Residential,2007-07-01,30/06/2008,12266
Electricity,All,3009796.83,THE ROCKS (Sydney - NSW),Residential,2008-07-01,30/06/2009,12266
Electricity,All,3032097.25,THE ROCKS (Sydney - NSW),Residential,2009-07-01,30/06/2010,12266
Electricity,All,3051560.58,THE ROCKS (Sydney - NSW),Residential,2010-07-01,30/06/2011,12266
Electricity,All,3077148.6,THE ROCKS (Sydney - NSW),Residential,2011-07-01,30/06/2012,12266
Electricity,All,3127681,THE ROCKS (Sydney - NSW),Residential,2013-07-01,30/06/2014,12266
Electricity,All,18644168.3,ULTIMO,Residential,2006-07-01,30/06/2007,12343
Electricity,All,12943478.57,ULTIMO,Residential,2007-07-01,30/06/2008,12343
Electricity,All,13691322,ULTIMO,Residential,2008-07-01,30/06/2009,12343
Electricity,All,13455991.74,ULTIMO,Residential,2009-07-01,30/06/2010,12343
Electricity,All,13412040.7,ULTIMO,Residential,2010-07-01,30/06/2011,12343
Electricity,All,13055987.28,ULTIMO,Residential,2011-07-01,30/06/2012,12343
Electricity,All,12118048.5,ULTIMO,Residential,2013-07-01,30/06/2014,12343
Electricity,All,31793596.1,WATERLOO (NSW),Residential,2006-07-01,30/06/2007,12434
Electricity,All,21499972.73,WATERLOO (NSW),Residential,2007-07-01,30/06/2008,12434
Electricity,All,22912572.78,WATERLOO (NSW),Residential,2008-07-01,30/06/2009,12434
Electricity,All,23639992.16,WATERLOO (NSW),Residential,2009-07-01,30/06/2010,12434
Electricity,All,23928487.24,WATERLOO (NSW),Residential,2010-07-01,30/06/2011,12434
Electricity,All,22609445.06,WATERLOO (NSW),Residential,2011-07-01,30/06/2012,12434
Electricity,All,21022289.56,WATERLOO (NSW),Residential,2013-07-01,30/06/2014,12434
Electricity,All,19477724.09,WOOLLOOMOOLOO,Residential,2006-07-01,30/06/2007,12563
Electricity,All,12700303.22,WOOLLOOMOOLOO,Residential,2007-07-01,30/06/2008,12563
Electricity,All,12708744.45,WOOLLOOMOOLOO,Residential,2008-07-01,30/06/2009,12563
Electricity,All,12653958.62,WOOLLOOMOOLOO,Residential,2009-07-01,30/06/2010,12563
Electricity,All,12364344.76,WOOLLOOMOOLOO,Residential,2010-07-01,30/06/2011,12563
Electricity,All,11626726.91,WOOLLOOMOOLOO,Residential,2011-07-01,30/06/2012,12563
Electricity,All,9156141.15,WOOLLOOMOOLOO,Residential,2013-07-01,30/06/2014,12563
Electricity,All,8838681.69,ZETLAND,Residential,2006-07-01,30/06/2007,12626
Electricity,All,6055636.55,ZETLAND,Residential,2007-07-01,30/06/2008,12626
Electricity,All,6342248.13,ZETLAND,Residential,2008-07-01,30/06/2009,12626
Electricity,All,6397111.83,ZETLAND,Residential,2009-07-01,30/06/2010,12626
Electricity,All,6897722.75,ZETLAND,Residential,2010-07-01,30/06/2011,12626
Electricity,All,7008307.11,ZETLAND,Residential,2011-07-01,30/06/2012,12626
Electricity,All,9065222.36,ZETLAND,Residential,2013-07-01,30/06/2014,12626
